Id,City,Lat,Lon,day_tmp_avg,hum_pct_avg,wind_spd_avg,cld_pct_avg,rain_prob_avg,main_weath_avg,rain_vol_avg,Decision,Hotel,Url,Score,Description,Lon_h,Lat_h
5,Paris,48.8566969,2.3514616,9.31,41.75,3.17,47.12,0.39,Clouds,4.06,OK,Maison Villeroy,https://www.booking.com/hotel/fr/villeroy-paris.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQKIAgGoAgO4AoOysIMGwAIB0gIkYzcxZTYxZjUtZjhkYS00NWI0LTkwMGUtMGVkODA1MjU3OWQy2AIF4AIB&sid=52e49e294914c8bea0175922cc65b40c&dest_id=-1456928&dest_type=city&group_adults=2&group_children=0&hapos=189&hpos=14&no_rooms=1&sr_order=popularity&srepoch=1617697042&srpvid=da0c3a48a7c20003&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,9.9,"Doté d’un bar, d’un restaurant, d’une salle de sport et d’un parking privé, l’Hôtel Particulier Villeroy propose des hébergements à Paris, à 1,6 km du musée de l'Orangerie. ",2.304762,48.865229
5,Paris,48.8566969,2.3514616,9.31,41.75,3.17,47.12,0.39,Clouds,4.06,OK,Gorgeous Design Apartment 5P - Bastille,https://www.booking.com/hotel/fr/gorgeous-design-apartment-5p-bastille.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQKIAgGoAgO4AoOysIMGwAIB0gIkYzcxZTYxZjUtZjhkYS00NWI0LTkwMGUtMGVkODA1MjU3OWQy2AIF4AIB&sid=52e49e294914c8bea0175922cc65b40c&dest_id=-1456928&dest_type=city&group_adults=2&group_children=0&hapos=884&hpos=9&no_rooms=1&sr_order=popularity&srepoch=1617697084&srpvid=a9643a5d524c0089&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,9.8,"Situé à Paris, à 1,3 km de l'opéra Bastille et à 3 km du centre Pompidou, le Gorgeous Design Apartment 5P - Bastille propose une connexion Wi-Fi gratuite et la climatisation. ",2.3767341,48.8590331
5,Paris,48.8566969,2.3514616,9.31,41.75,3.17,47.12,0.39,Clouds,4.06,OK,166 Suite Roza amazing flat near Notre Dame,https://www.booking.com/hotel/fr/166-suite-roza-amazing-flat-near-notre-dame.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQKIAgGoAgO4AoOysIMGwAIB0gIkYzcxZTYxZjUtZjhkYS00NWI0LTkwMGUtMGVkODA1MjU3OWQy2AIF4AIB&sid=52e49e294914c8bea0175922cc65b40c&dest_id=-1456928&dest_type=city&group_adults=2&group_children=0&hapos=774&hpos=24&no_rooms=1&sr_order=popularity&srepoch=1617697077&srpvid=a1573a5ab9b30001&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,9.7,"Situé à Paris, à 500 mètres du musée du Louvre, le 166 Suite Roza amazing flat near Notre Dame bénéficie d’une réception ouverte 24h/24. ",2.3353753,48.8563512
5,Paris,48.8566969,2.3514616,9.31,41.75,3.17,47.12,0.39,Clouds,4.06,OK,Le Notre Dame - Luxury Apartment with Seine View,https://www.booking.com/hotel/fr/apartment-grands-augustins.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQKIAgGoAgO4AoOysIMGwAIB0gIkYzcxZTYxZjUtZjhkYS00NWI0LTkwMGUtMGVkODA1MjU3OWQy2AIF4AIB&sid=52e49e294914c8bea0175922cc65b40c&dest_id=-1456928&dest_type=city&group_adults=2&group_children=0&hapos=578&hpos=3&no_rooms=1&sr_order=popularity&srepoch=1617697066&srpvid=c7003a543c1c007e&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,9.7,Le Notre Dame - Luxury Apartment with Seine View est un hébergement indépendant situé dans le 6ème arrondissement de Paris. ,2.34200057637872,48.8547578144066
5,Paris,48.8566969,2.3514616,9.31,41.75,3.17,47.12,0.39,Clouds,4.06,OK,Chez Vous ST HONORÉ,https://www.booking.com/hotel/fr/st-honore.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQKIAgGoAgO4AoOysIMGwAIB0gIkYzcxZTYxZjUtZjhkYS00NWI0LTkwMGUtMGVkODA1MjU3OWQy2AIF4AIB&sid=52e49e294914c8bea0175922cc65b40c&dest_id=-1456928&dest_type=city&group_adults=2&group_children=0&hapos=812&hpos=12&no_rooms=1&sr_order=popularity&srepoch=1617697079&srpvid=57ba3a5bda1a00eb&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,9.6,"Situé à Paris, le St Honore propose un hébergement avec connexion Wi-Fi gratuite, à 200 mètres du musée du Louvre, à 1,4 km de Sainte-Chapelle, à 1,7 km du centre Pompidou et à 1,9 km du musée...",2.338453,48.862395
5,Paris,48.8566969,2.3514616,9.31,41.75,3.17,47.12,0.39,Clouds,4.06,OK,LE MARAIS PRESTIGE Luxueux - Cosy - Wifi,https://www.booking.com/hotel/fr/le-marais-prestige.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQKIAgGoAgO4AoOysIMGwAIB0gIkYzcxZTYxZjUtZjhkYS00NWI0LTkwMGUtMGVkODA1MjU3OWQy2AIF4AIB&sid=52e49e294914c8bea0175922cc65b40c&dest_id=-1456928&dest_type=city&group_adults=2&group_children=0&hapos=363&hpos=13&no_rooms=1&sr_order=popularity&srepoch=1617697053&srpvid=66693a4ef28500fb&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,9.6,"Doté d'un jardin et d'une connexion Wi-Fi gratuite, l'établissement LE MARAIS PRESTIGE Luxueux - Cosy - Wifi est situé dans le centre de Paris, à proximité du Centre Pompidou, de la cathédrale...",2.3556057,48.8585607
5,Paris,48.8566969,2.3514616,9.31,41.75,3.17,47.12,0.39,Clouds,4.06,OK,Sourire Boutique Hôtel Particulier,https://www.booking.com/hotel/fr/sourire-b-b.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQKIAgGoAgO4AoOysIMGwAIB0gIkYzcxZTYxZjUtZjhkYS00NWI0LTkwMGUtMGVkODA1MjU3OWQy2AIF4AIB&sid=52e49e294914c8bea0175922cc65b40c&dest_id=-1456928&dest_type=city&group_adults=2&group_children=0&hapos=806&hpos=6&no_rooms=1&sr_order=popularity&srepoch=1617697079&srpvid=57ba3a5bda1a00eb&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,9.6,"Situé à Paris, à 2,4 km de la tour Eiffel, le Sourire Boutique Hôtel Particulier possède une terrasse, un salon commun, un bar et une connexion Wi-Fi gratuite. ",2.27542282943045,48.8551251490439
5,Paris,48.8566969,2.3514616,9.31,41.75,3.17,47.12,0.39,Clouds,4.06,OK,My Opéra,https://www.booking.com/hotel/fr/athene-1.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQKIAgGoAgO4AoOysIMGwAIB0gIkYzcxZTYxZjUtZjhkYS00NWI0LTkwMGUtMGVkODA1MjU3OWQy2AIF4AIB&sid=52e49e294914c8bea0175922cc65b40c&dest_id=-1456928&dest_type=city&group_adults=2&group_children=0&hapos=945&hpos=20&no_rooms=1&sr_order=popularity&srepoch=1617697087&srpvid=2a1b3a5ff2f6003d&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,9.6,"Le My Opéra est situé dans le 9ème arr. Le quartier de Paris se trouve à 1,8 km du Sacré-Cœur, à 1,9 km du musée de l'Orangerie et à 2,3 km de la salle de concert La Cigale. ",2.3273697,48.8781902
5,Paris,48.8566969,2.3514616,9.31,41.75,3.17,47.12,0.39,Clouds,4.06,OK,Marais Lovely,https://www.booking.com/hotel/fr/marais-confort-beaubourg.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQKIAgGoAgO4AoOysIMGwAIB0gIkYzcxZTYxZjUtZjhkYS00NWI0LTkwMGUtMGVkODA1MjU3OWQy2AIF4AIB&sid=52e49e294914c8bea0175922cc65b40c&dest_id=-1456928&dest_type=city&group_adults=2&group_children=0&hapos=948&hpos=23&no_rooms=1&sr_order=popularity&srepoch=1617697087&srpvid=2a1b3a5ff2f6003d&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,9.6,"Situé à Paris, à proximité du Centre Pompidou, de Sainte-Chapelle et de la cathédrale Notre-Dame, le Marais Lovely propose une connexion Wi-Fi gratuite. ",2.3521496,48.8592461
5,Paris,48.8566969,2.3514616,9.31,41.75,3.17,47.12,0.39,Clouds,4.06,OK,Grand studio 45m2 Auteuil Paris XVl ème,https://www.booking.com/hotel/fr/grand-studio-45m2-auteuil-paris-xvl-eme.fr.html?label=gen173nr-1FCAEoggI46AdIDVgEaE2IAQGYAQ24AQfIAQzYAQHoAQH4AQKIAgGoAgO4AoOysIMGwAIB0gIkYzcxZTYxZjUtZjhkYS00NWI0LTkwMGUtMGVkODA1MjU3OWQy2AIF4AIB&sid=52e49e294914c8bea0175922cc65b40c&dest_id=-1456928&dest_type=city&group_adults=2&group_children=0&hapos=855&hpos=5&no_rooms=1&sr_order=popularity&srepoch=1617697082&srpvid=77b23a5d0da300ee&ucfs=1&from=searchresults;highlight_room=#hotelTmpl,9.6,"Doté d'un jardin, le Grand studio 45m2 Auteuil Paris XVl ème se trouve à Paris, à 700 mètres du Parc des Princes et à 2,3 km du parc des expositions de la porte de Versailles. ",2.2605574,48.8450141
